"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-APC-A :: OVA-Tet","Comp-APC-Fire 750-A :: CD3","Comp-APC-Fire 810-A :: CD4","Comp-Alexa Fluor 488-A :: TCF1","Comp-Alexa Fluor 532-A :: CD8","Comp-Alexa Fluor 700-A :: CD101","Comp-BV421-A :: Tbet","Comp-BV510-A :: CD62L","Comp-BV570-A :: CD44","Comp-BV605-A :: CD45.1","Comp-BV650-A :: CX3CR1","Comp-BV711-A :: CD45.2","Comp-BV785-A :: CD69","Comp-CellTrace Violet-A :: CTV","Comp-PE-A :: Ly108","Comp-PE-Cy7-A :: EOMES","Comp-PE-Dazzle594-A :: PD1","Comp-PerCP-eFluor 710-A :: TIM3","Comp-Zombie NIR-A :: Viability","Time"
357,284,184,118,78,63,181,102,169,591,555,275,676,530,481,495,294,682,350,318,613,288,301,585,433,467,320,240,473
582,471,181,116,65,55,174,104,163,657,427,323,356,595,457,258,331,699,386,337,646,593,442,524,304,303,290,278,480
610,476,188,160,75,61,183,139,169,635,444,336,295,569,354,287,339,648,385,379,623,282,297,601,298,402,457,285,487
560,452,181,142,84,65,188,121,172,663,476,373,348,592,439,299,352,690,505,445,584,266,271,619,336,532,333,255,492
509,424,176,111,69,58,176,98,166,599,586,288,528,523,498,361,297,703,369,330,709,267,268,588,397,402,352,218,506
487,371,192,123,60,46,191,103,175,585,509,428,652,548,455,475,485,659,467,328,613,272,329,655,362,545,383,255,523
291,237,180,102,48,39,178,90,165,585,639,362,580,551,582,340,254,633,359,579,729,498,596,575,363,404,397,187,559
621,473,192,166,106,77,203,134,181,732,543,347,391,610,538,294,395,711,483,467,661,276,301,675,354,572,412,280,569
429,347,181,103,55,46,175,91,165,533,392,278,498,507,446,339,310,671,341,322,628,271,297,486,341,279,263,247,596
548,448,179,102,58,47,180,89,169,685,494,334,530,570,484,299,457,690,452,342,602,274,298,653,314,556,270,250,604
536,434,181,184,103,84,179,162,165,635,428,314,353,558,416,298,461,675,403,346,638,273,299,599,321,436,286,268,650
